,ORG,LOC,PER,DATE
bam,0.9999911785125732,0.9999952912330627,0.9999899864196777,
bbj,0.9999924302101135,0.9999879002571106,0.9999904632568359,
ewe,0.9999914765357971,0.9999948740005493,0.9999977350234985,
fon,0.9999932646751404,0.9999967217445374,0.9999953508377075,
hau,0.9999924302101135,0.9999963641166687,0.9999966025352478,
ibo,0.9999906420707703,0.9999940991401672,0.9999972581863403,
kin,0.9999926686286926,0.9999938607215881,0.999998152256012,
lug,0.9999960660934448,0.9999939203262329,0.9999985694885254,
luo,0.9999874830245972,0.9999969601631165,0.9999967813491821,
mos,0.9999936819076538,0.9999971389770508,0.9999720454216003,
nya,0.9999939203262329,0.999994695186615,0.9999967813491821,
pcm,0.9999889135360718,0.9999938607215881,0.9999966621398926,
sna,0.9999968409538269,0.999997615814209,0.9999951124191284,
swa,0.9999909996986389,0.999994158744812,0.999995231628418,
tsn,0.9999933838844299,0.9999956488609314,0.9999955296516418,
twi,0.9999870657920837,0.9999939203262329,0.9999914169311523,
wol,0.9999940991401672,0.9999929666519165,0.999997079372406,
xho,0.9999931454658508,0.999995231628418,0.9999970197677612,
yor,0.999979555606842,0.9999899864196777,0.9999967813491821,
zul,0.999992847442627,0.9999932050704956,0.9999973177909851,
