,DATE,PER,ORG,LOC
bam,0.9185072183609009,0.9540324807167053,0.8466892838478088,0.9039273858070374
bbj,0.8422976732254028,0.9508291482925415,0.9189472794532776,0.7721089720726013
ewe,0.7373703718185425,0.9481345415115356,0.950972855091095,0.9214417934417725
fon,0.8901099562644958,0.9416877031326294,0.9478110671043396,0.8739791512489319
hau,0.9398486018180847,0.9523537158966064,0.9568411111831665,0.8562244176864624
ibo,0.9548997282981873,0.9592140913009644,0.9541625380516052,0.8554872274398804
kin,0.9643457531929016,0.9501098990440369,0.948825478553772,0.9504266977310181
lug,0.9204643368721008,0.9349695444107056,0.9520610570907593,0.9542816281318665
luo,0.9379558563232422,0.9422520399093628,0.9532742500305176,0.9497298002243042
mos,0.8252293467521667,0.9425614476203918,0.9407088756561279,0.8678935170173645
nya,0.938481330871582,0.968837320804596,0.9431366920471191,0.8733155131340027
pcm,0.7466130256652832,0.9602226614952087,0.9068140983581543,0.9255672693252563
sna,0.9591477513313293,0.9402245283126831,0.9340764284133911,0.8481787443161011
swa,0.8896180391311646,0.9313265085220337,0.896984875202179,0.9462088942527771
tsn,0.9491889476776123,0.9482818841934204,0.9400624632835388,0.9217938184738159
twi,0.9258050918579102,0.9646136164665222,0.9687685966491699,0.9529030323028564
wol,0.9265455007553101,0.9580146670341492,0.9435904026031494,0.8404725790023804
xho,0.9087395071983337,0.9116818904876709,0.9273310899734497,0.8197739124298096
yor,0.874785840511322,0.8757230043411255,0.916002631187439,0.7663556337356567
zul,0.9505317807197571,0.9138041734695435,0.9418659806251526,0.8975426554679871
