language,sim,f1
bam,0.6718580124211434,0.804
bbj,0.7798726361170316,0.804
ewe,0.6733804983414349,0.793
fon,0.7092181826645522,0.802
hau,0.7052225554744065,0.81
ibo,0.7538585937829863,0.809
kin,0.873156168099325,0.814
lug,0.8889078755472034,0.806
luo,0.78258558087123,0.81
mos,0.6733804983414349,0.81
pcm,0.7050482417932928,0.809
nya,0.8997667087087251,0.818
sna,0.8708896333420235,0.814
swa,0.8754486895544353,0.81
tsn,0.9048645778823595,0.813
twi,0.7774644314502368,0.807
wol,0.6930635458972616,0.813
xho,0.8297009711706966,0.814
yor,0.7152474728151239,0.81
zul,0.8132202844993976,0.809
