,LOC,DATE,PER,ORG
bam,0.7897868156433105,0.8433165550231934,0.6472136378288269,0.6972053647041321
bbj,0.5529330372810364,0.702650249004364,0.6744090914726257,0.762385368347168
ewe,0.8102625012397766,0.6224715709686279,0.6354270577430725,0.8240928649902344
fon,0.7517803311347961,0.7519625425338745,0.6617763638496399,0.8274177312850952
hau,0.6826581358909607,0.8943904042243958,0.6512289047241211,0.8401113152503967
ibo,0.7329121828079224,0.9055825471878052,0.6930826306343079,0.8669313788414001
kin,0.8145984411239624,0.9072011113166809,0.6295912861824036,0.8843000531196594
lug,0.9057409167289734,0.8079718947410583,0.6039430499076843,0.8391197919845581
luo,0.8744467496871948,0.8721856474876404,0.6652976274490356,0.8629204034805298
mos,0.7392467260360718,0.6973308324813843,0.664642333984375,0.8099687695503235
nya,0.7516816258430481,0.8818467259407043,0.6914179921150208,0.8807258009910583
pcm,0.8420071601867676,0.6139158010482788,0.6753585338592529,0.8004229068756104
sna,0.7105029821395874,0.9146084785461426,0.6667348146438599,0.8525798320770264
swa,0.8735100030899048,0.8165645003318787,0.6521679162979126,0.7769180536270142
tsn,0.7922658324241638,0.9032469391822815,0.6633685827255249,0.8440600037574768
twi,0.8569058179855347,0.8213018774986267,0.697283923625946,0.8960965275764465
wol,0.6764979958534241,0.8882765173912048,0.6696616411209106,0.8554072976112366
xho,0.66280198097229,0.8943681716918945,0.6702470779418945,0.8292238712310791
yor,0.5726898908615112,0.7377557754516602,0.5422071218490601,0.7629530429840088
zul,0.7875253558158875,0.8912572264671326,0.6548322439193726,0.8516845703125
