,ORG,PER,DATE,LOC,Mean
kin,0.9753178954124451,0.8901355862617493,0.9696283936500549,0.9570385217666626,0.9658146882368848
luo,0.9647648334503174,0.8849497437477112,0.972490668296814,0.9538000822067261,0.9621413622806275
twi,0.9775526523590088,0.8959566950798035,0.9557974338531494,0.9503817558288574,0.9599638051456876
lug,0.9690696597099304,0.8648985028266907,0.9538766741752625,0.9592407941818237,0.9588500124956268
ibo,0.9657449722290039,0.8842828273773193,0.9817099571228027,0.9264558553695679,0.9565254099228803
zul,0.9662308692932129,0.8809056878089905,0.9743180274963379,0.9295739531517029,0.9552213043169259
nya,0.9719728231430054,0.9002560377120972,0.9641125202178955,0.9205794334411621,0.9512026598250943
swa,0.949935793876648,0.8767784237861633,0.9478914737701416,0.9585448503494263,0.9506466743213678
hau,0.968487024307251,0.8955398201942444,0.9674063324928284,0.9075552225112915,0.9467911661839953
tsn,0.944141149520874,0.8906807899475098,0.9715380072593689,0.9270421862602234,0.9464582321690578
sna,0.9609262347221375,0.8915074467658997,0.9779504537582397,0.9000368714332581,0.9452300675554213
xho,0.9574003219604492,0.8893454074859619,0.9847535490989685,0.8959131240844727,0.9449110194748523
wol,0.9551572203636169,0.8980977535247803,0.9625338912010193,0.9085957407951355,0.9412329142389734
bam,0.917547345161438,0.8795170187950134,0.9551979303359985,0.9285088777542114,0.9326879654834473
mos,0.962730884552002,0.8860724568367004,0.9150643944740295,0.9106204509735107,0.9286209403299818
fon,0.9540436863899231,0.8794485926628113,0.9167160987854004,0.8982508182525635,0.9221495160090378
ewe,0.9614494442939758,0.8844622373580933,0.8688037991523743,0.9292982816696167,0.9191566207050498
pcm,0.9342393279075623,0.8882222175598145,0.8722703456878662,0.9436196684837341,0.916151201023775
yor,0.9461954832077026,0.8431106209754944,0.9298664331436157,0.8476879596710205,0.9066459193728329
bbj,0.9439684748649597,0.886726975440979,0.9201523065567017,0.8460686802864075,0.9030696340635711
