,LOC,DATE,ORG,PER,Mean
sna,0.9803935885429382,,0.9749684929847717,0.9320970177650452,0.9759278091100546
hau,0.9719885587692261,,0.9731397032737732,0.928372859954834,0.9708644667497048
twi,0.9693006277084351,,0.9693765640258789,0.9451226592063904,0.9684072136878967
xho,0.9677357077598572,,0.9670162796974182,0.9269919395446777,0.9658227608754084
zul,0.9631892442703247,,0.9694586992263794,0.9508465528488159,0.9657286864060622
mos,0.9734677076339722,,0.957382321357727,0.9360474348068237,0.9642951075847332
lug,0.9538747072219849,,0.9730590581893921,0.9434093236923218,0.9626954381282513
ibo,0.9775010943412781,,0.9488691091537476,0.9410083293914795,0.9623321489645884
fon,0.9656128287315369,,0.9597077965736389,0.9179965853691101,0.9609424769878387
nya,0.9578862190246582,,0.964512050151825,0.9510373473167419,0.9608082966162608
kin,0.9652946591377258,,0.9548248648643494,0.9420242309570312,0.9593660877301142
wol,0.9684962034225464,,0.9509226083755493,0.9470049738883972,0.9592207738986382
bam,0.9704524874687195,,0.9440129399299622,0.9263160824775696,0.9560436124985034
yor,0.9384319186210632,,0.9523428082466125,0.9395716190338135,0.9451636809569138
ewe,0.9388377070426941,,0.9517551064491272,0.9384946823120117,0.9450348019599915
bbj,0.9387543201446533,,0.9516645669937134,0.9388359785079956,0.9449643102975992
luo,0.9606719613075256,,0.919618546962738,0.9386729001998901,0.9400886251376226
swa,0.9478284120559692,,0.9225215911865234,0.9413177371025085,0.935411260678218
tsn,0.9419581890106201,,0.928154706954956,0.9367508292198181,0.9351216164919046
pcm,0.921284019947052,,0.9039515852928162,0.9344398975372314,0.9134571139629071
