,LOC,PER,DATE,ORG
bam,0.9558254480361938,0.9898557662963867,,0.9598139524459839
bbj,0.9266295433044434,0.9872681498527527,,0.979672908782959
ewe,0.9803767204284668,0.9814306497573853,,0.9864596128463745
fon,0.9260827302932739,0.9726418852806091,,0.9875759482383728
hau,0.9327569603919983,0.9866002798080444,,0.9786906242370605
ibo,0.9355378150939941,0.991768479347229,,0.9841133952140808
kin,0.984117865562439,0.9863819479942322,,0.9846194386482239
lug,0.9873402118682861,0.9706220626831055,,0.9877359867095947
luo,0.9851518869400024,0.9856352210044861,,0.9875236749649048
mos,0.9322207570075989,0.9814979434013367,,0.9847187995910645
nya,0.9276702404022217,0.9953938722610474,,0.9823017120361328
pcm,0.9836406707763672,0.9938116669654846,,0.9615880846977234
sna,0.9570742845535278,0.982942521572113,,0.972126841545105
swa,0.993404746055603,0.983579695224762,,0.9680584073066711
tsn,0.9714363813400269,0.9874773025512695,,0.9782945513725281
twi,0.9891568422317505,0.9930756688117981,,0.9925330877304077
wol,0.9383158087730408,0.9875051975250244,,0.9819514751434326
xho,0.9443823099136353,0.9514080882072449,,0.9807676076889038
yor,0.9134061932563782,0.9699872732162476,,0.9797259569168091
zul,0.9602970480918884,0.9691661596298218,,0.9858734011650085
