,LOC,ORG,DATE,PER
bam,0.9586101770401001,0.9602771997451782,0.9716061949729919,0.98012775182724
bbj,0.9313005208969116,0.9737942218780518,0.9603756666183472,0.9808023571968079
ewe,0.965316891670227,0.9834683537483215,0.9665377140045166,0.9819169044494629
fon,0.9440563917160034,0.9824979305267334,0.959705650806427,0.9823939800262451
hau,0.9399577975273132,0.974981963634491,0.9339357018470764,0.9823336005210876
ibo,0.9455541968345642,0.9838974475860596,0.987521231174469,0.9828605055809021
kin,0.9856106638908386,0.9889786839485168,0.9821512699127197,0.981407642364502
lug,0.9828064441680908,0.9641196131706238,0.9587627053260803,0.9926266074180603
luo,0.9778000712394714,0.980686604976654,0.9832140803337097,0.9788327813148499
mos,0.9572497010231018,0.9847151041030884,0.9449348449707031,0.9847934246063232
nya,0.9723098874092102,0.9856970906257629,0.9732968807220459,0.9896528124809265
pcm,0.9671685099601746,0.9642389416694641,0.8968442678451538,0.9824066758155823
sna,0.9617872834205627,0.9865913987159729,0.9850243926048279,0.9878510236740112
swa,0.9619694352149963,0.9615585207939148,0.9084632396697998,0.9701094031333923
tsn,0.9686065912246704,0.9773763418197632,0.9781814813613892,0.9853511452674866
twi,0.9788814783096313,0.9900191426277161,0.9775484800338745,0.9857755899429321
wol,0.9523948431015015,0.979727029800415,0.9780234098434448,0.9839045405387878
xho,0.9537822604179382,0.9747291207313538,0.9714796543121338,0.9770093560218811
yor,0.9406620860099792,0.980650782585144,0.9678683280944824,0.9726346731185913
zul,0.9632337689399719,0.9859786033630371,0.9736878871917725,0.9813805222511292
