,ORG,PER,LOC,DATE,Mean
twi,0.9929993152618408,0.9912446737289429,0.9843026399612427,,0.9895155429840088
lug,0.9831809997558594,0.9894659519195557,0.9859381914138794,,0.9861950476964315
luo,0.988295316696167,0.9863150715827942,0.9820236563682556,,0.9855446815490723
kin,0.9890909790992737,0.9869412183761597,0.9761601090431213,,0.9840641021728516
swa,0.9777076244354248,0.9806379079818726,0.9885739088058472,,0.9823064804077148
ewe,0.987604558467865,0.9838950037956238,0.9725881218910217,,0.9813625613848368
pcm,0.9632440209388733,0.9918506741523743,0.9852854609489441,,0.9801267186800638
tsn,0.9819221496582031,0.9858083128929138,0.9602169394493103,,0.9759824673334757
ibo,0.9842777252197266,0.9902243614196777,0.9526698589324951,,0.9757239818572998
sna,0.9810386896133423,0.990021824836731,0.951858639717102,,0.9743063847223917
nya,0.9859050512313843,0.9915626049041748,0.9368384480476379,,0.9714353680610657
zul,0.984725832939148,0.9756617546081543,0.9535403251647949,,0.9713093042373657
bam,0.965457558631897,0.9893107414245605,0.9588032364845276,,0.9711905121803284
hau,0.9860309958457947,0.9862543940544128,0.9377515912055969,,0.9700123270352682
mos,0.9856815338134766,0.9764121770858765,0.9455885887145996,,0.9692274332046509
wol,0.9841073751449585,0.9873306751251221,0.934562087059021,,0.9686667124430338
fon,0.9858200550079346,0.9720934629440308,0.9351750612258911,,0.9643628597259521
bbj,0.9799388647079468,0.9888980984687805,0.9158986806869507,,0.9615785479545593
yor,0.9868417382240295,0.9728772640228271,0.919334888458252,,0.9596846302350363
xho,0.9824749827384949,0.9587180614471436,0.9369223117828369,,0.9593717853228251
