,LOC,ORG,DATE,PER,Mean
sna,0.9989400506019592,0.9989670515060425,0.9982171654701233,0.9977331757545471,0.998464360833168
bbj,0.9980819225311279,0.9984897375106812,0.997204065322876,0.9981187582015991,0.997973620891571
zul,0.9973269104957581,0.9984860420227051,0.9981414079666138,0.9978633522987366,0.9979544281959534
ibo,0.9975485801696777,0.9971749186515808,0.9987515807151794,0.9982634782791138,0.9979346394538879
nya,0.9977633357048035,0.9966074824333191,0.9984948635101318,0.9987872838973999,0.9979132413864136
xho,0.9984810948371887,0.9972800016403198,0.998378574848175,0.9974318146705627,0.9978928714990616
yor,0.9978946447372437,0.9969633221626282,0.998421311378479,0.9982602596282959,0.9978848844766617
kin,0.9980608224868774,0.9976648092269897,0.9979408979415894,0.9970486164093018,0.9976787865161896
wol,0.9978023171424866,0.9952694773674011,0.9991205930709839,0.9984866976737976,0.9976697713136673
lug,0.9943639636039734,0.9982877969741821,0.9982144236564636,0.9996274709701538,0.9976234138011932
mos,0.9972883462905884,0.9962859749794006,0.9976277947425842,0.9981934428215027,0.997348889708519
twi,0.9951856732368469,0.9984609484672546,0.9975296258926392,0.997859537601471,0.9972589462995529
bam,0.9975083470344543,0.9945588111877441,0.9975950121879578,0.9977146983146667,0.9968442171812057
ewe,0.9982596039772034,0.9977294206619263,0.9954914450645447,0.9955704808235168,0.9967627376317978
tsn,0.9957332015037537,0.9941318035125732,0.9974294900894165,0.9988512396812439,0.9965364336967468
luo,0.9950388073921204,0.993874192237854,0.9983862638473511,0.9985414743423462,0.9964601844549179
fon,0.9958425164222717,0.9966844916343689,0.9967290759086609,0.9951071739196777,0.9960908144712448
hau,0.9904097318649292,0.9932848215103149,0.9923617243766785,0.9969012141227722,0.9932393729686737
pcm,0.9939820170402527,0.9885950088500977,0.9850094318389893,0.9957495927810669,0.9908340126276016
swa,0.9863890409469604,0.9864363074302673,0.9805507659912109,0.9947248697280884,0.9870252460241318
