,ORG,PER,LOC,DATE,Mean
lug,0.9969312,0.998057,0.99751675,0.9879905,0.99512386
kin,0.992728,0.9923807,0.99610525,0.9895295,0.9926858
nya,0.99250305,0.9948956,0.9938205,0.98769414,0.99222827
sna,0.99076295,0.99119866,0.99320996,0.9898896,0.9912653
xho,0.99196297,0.9777964,0.9907997,0.9906417,0.98780024
tsn,0.9893112,0.9885162,0.9857233,0.9840114,0.98689055
zul,0.98740304,0.99228317,0.98747253,0.97970176,0.98671514
luo,0.983649,0.98968375,0.9908021,0.97897565,0.9857776
wol,0.98499036,0.98521006,0.98277843,0.9744355,0.9818536
hau,0.9805109,0.98345846,0.9774001,0.98413825,0.98137695
ibo,0.9773114,0.98644674,0.9852744,0.9695369,0.9796424
twi,0.9818201,0.9799215,0.9762353,0.9621948,0.97504294
swa,0.9742516,0.9810111,0.9739499,0.97017765,0.97484756
bam,0.9667017,0.9775299,0.969192,0.9766673,0.97252274
ewe,0.9758554,0.9750558,0.97080123,0.9663534,0.97201645
mos,0.97621953,0.978583,0.95555425,0.96154714,0.967976
yor,0.9571851,0.9564213,0.9502787,0.94870764,0.9531482
pcm,0.95883465,0.96547174,0.9510793,0.93164533,0.9517578
fon,0.94776225,0.96444947,0.9405479,0.8938424,0.9366505
bbj,0.9283552,0.9480371,0.8850478,0.9199316,0.920343
