,DATE,ORG,PER,LOC
bam,0.8811514377593994,0.8454311490058899,0.8886380791664124,0.791218101978302
bbj,0.8475560545921326,0.9257046580314636,0.9217395782470703,0.7345463037490845
ewe,0.8644197583198547,0.9327090382575989,0.926275372505188,0.8467694520950317
fon,0.8314902186393738,0.9245962500572205,0.9201591610908508,0.7391282916069031
hau,0.8299350142478943,0.889220654964447,0.913119375705719,0.7147768139839172
ibo,0.9391049742698669,0.9439623951911926,0.935046374797821,0.7978382110595703
kin,0.9247722029685974,0.9552340507507324,0.9331203699111938,0.9212430119514465
lug,0.8546441197395325,0.8439275622367859,0.9814932942390442,0.9113985300064087
luo,0.9054697751998901,0.9320886135101318,0.9377864599227905,0.8732659220695496
mos,0.7960395216941833,0.9310031533241272,0.939780056476593,0.794539749622345
nya,0.9079880118370056,0.9534587264060974,0.9364738464355469,0.8443878293037415
pcm,0.7378501296043396,0.8786377906799316,0.9368928670883179,0.8565651178359985
sna,0.9375907778739929,0.937651515007019,0.9287864565849304,0.8317305445671082
swa,0.747810423374176,0.8598459959030151,0.8876054883003235,0.8961893916130066
tsn,0.9286244511604309,0.9143808484077454,0.9330393075942993,0.853329062461853
twi,0.8958920836448669,0.9519320726394653,0.932303786277771,0.9009270071983337
wol,0.9228771328926086,0.9384909868240356,0.9382120966911316,0.7743475437164307
xho,0.9083930850028992,0.9170668721199036,0.9141399264335632,0.765347421169281
yor,0.8720251321792603,0.9221620559692383,0.8781421780586243,0.7374703288078308
zul,0.9127755761146545,0.9499363899230957,0.8997661471366882,0.8174965381622314
