,LOC,DATE,ORG,PER
bam,0.9592998027801514,0.9771031141281128,0.9725212454795837,0.8875169157981873
bbj,0.9344321489334106,0.9659500122070312,0.9782149195671082,0.9003702998161316
ewe,0.9652498364448547,0.9725939631462097,0.9805477261543274,0.9110679030418396
fon,0.9448813796043396,0.9650590419769287,0.9807032942771912,0.9012858271598816
hau,0.9405853748321533,0.9458729028701782,0.9740626811981201,0.90873783826828
ibo,0.9481373429298401,0.9866106510162354,0.9835600256919861,0.8976280093193054
kin,0.9819819927215576,0.985903263092041,0.9866130948066711,0.8885676264762878
lug,0.9816857576370239,0.9649125337600708,0.9636368751525879,0.9060447812080383
luo,0.9774641394615173,0.9869475960731506,0.9800295233726501,0.9021645188331604
mos,0.9557079672813416,0.957473635673523,0.9823776483535767,0.902836263179779
nya,0.9699798822402954,0.9788191318511963,0.9852287769317627,0.9025784134864807
pcm,0.9668905735015869,0.9163798689842224,0.964534342288971,0.9033386707305908
sna,0.9604463577270508,0.9881411790847778,0.9868087768554688,0.9020721912384033
swa,0.9633146524429321,0.9225764274597168,0.9614543914794922,0.9067928194999695
tsn,0.9629560708999634,0.9847813844680786,0.9770421981811523,0.906653881072998
twi,0.975695013999939,0.9824489951133728,0.9899352192878723,0.9057287573814392
wol,0.9520136713981628,0.9831278324127197,0.9750908017158508,0.8950783014297485
xho,0.955550491809845,0.9782578349113464,0.9743669629096985,0.9040778279304504
yor,0.9404743909835815,0.9745038151741028,0.9821255803108215,0.8947275876998901
zul,0.9646977186203003,0.9808865189552307,0.9852042198181152,0.9066648483276367
