,LOC,DATE,ORG,PER
bam,0.9752224087715149,0.9774457812309265,0.9627324938774109,0.8945823311805725
bbj,0.9594565033912659,0.9615698456764221,0.9766395092010498,0.901624321937561
ewe,0.9788418412208557,0.9766396284103394,0.9826115965843201,0.9168096780776978
fon,0.9692440032958984,0.9615967869758606,0.9812887907028198,0.9073855876922607
hau,0.9520654678344727,0.9483445882797241,0.9786058068275452,0.917966902256012
ibo,0.9739406704902649,0.9868831038475037,0.9833184480667114,0.901194155216217
kin,0.9803319573402405,0.9865993857383728,0.988436222076416,0.8888881206512451
lug,0.9715341329574585,0.9637995958328247,0.9695371389389038,0.9107415676116943
luo,0.9786950945854187,0.9878606200218201,0.9813829064369202,0.907265305519104
mos,0.9766481518745422,0.957643449306488,0.984721839427948,0.913170576095581
nya,0.9758455753326416,0.9794560670852661,0.9837168455123901,0.9081725478172302
pcm,0.9645137786865234,0.913712739944458,0.9623630046844482,0.9154220223426819
sna,0.9800260066986084,0.988439679145813,0.9866828918457031,0.9082192778587341
swa,0.9567412734031677,0.9291103482246399,0.96875,0.9106869697570801
tsn,0.9717535376548767,0.9845635294914246,0.9780306816101074,0.9099036455154419
twi,0.9768186807632446,0.984340250492096,0.991365373134613,0.9173388481140137
wol,0.9706584215164185,0.9807150363922119,0.9784542918205261,0.9043529033660889
xho,0.9733819961547852,0.9752959609031677,0.9766255021095276,0.9095715880393982
yor,0.964224636554718,0.9687935709953308,0.9824567437171936,0.900824785232544
zul,0.9791528582572937,0.9824731945991516,0.9864579439163208,0.9167000651359558
