,DATE,LOC,ORG,PER
bam,,0.997899055480957,0.9960493445396423,
bbj,,0.994469940662384,0.9969719648361206,
ewe,,,0.9980167746543884,0.9983342885971069
fon,,0.996764063835144,0.997620701789856,0.9983919262886047
hau,,0.9954025745391846,0.997234046459198,0.9984309077262878
ibo,,0.9971893429756165,0.9980976581573486,
kin,,0.9974754452705383,0.9984536170959473,0.9985997676849365
lug,,,0.9971073865890503,0.998590886592865
luo,,,0.9971654415130615,0.9981757402420044
mos,,,0.9983175992965698,0.9987984299659729
nya,,0.9981188774108887,0.9983401298522949,0.9989036321640015
pcm,,0.9970384836196899,,0.9988781213760376
sna,,0.9978238940238953,0.9984884262084961,0.9985430240631104
swa,,0.9947981238365173,0.997093915939331,0.9986194968223572
tsn,,0.9974110722541809,0.9984274506568909,
twi,,0.9978076219558716,0.9985113143920898,0.9988477230072021
wol,,0.997535228729248,0.9975643754005432,0.998831033706665
xho,,0.9975893497467041,,0.9979900121688843
yor,,0.9947444796562195,0.9977177381515503,
zul,,0.9967690110206604,,0.9983261823654175
