,DATE,PER,ORG,LOC
bam,,,0.9353769421577454,
bbj,,,0.9611475467681885,0.9281826019287109
ewe,,0.9750362038612366,0.9673416018486023,
fon,,0.9626642465591431,,
hau,,0.988476574420929,0.9847344756126404,
ibo,,,0.9750862121582031,0.9785832166671753
kin,,,0.9833624362945557,
lug,,0.9875509142875671,0.9907125234603882,
luo,,0.972486138343811,0.9763780236244202,
mos,,0.9793395400047302,0.9784926176071167,
nya,,,0.9792855978012085,
pcm,,0.9702053070068359,,0.9396640062332153
sna,,0.9828841090202332,,0.9800276160240173
swa,,0.968732476234436,,
tsn,,,0.9697346091270447,0.9738782048225403
twi,,0.9828229546546936,,
wol,,,0.9755630493164062,
xho,,0.9719251394271851,,0.9741812944412231
yor,,,0.9559084177017212,0.9483839869499207
zul,,,,0.9718732833862305
