,ORG,LOC,PER,DATE
bam,0.910024106502533,0.9243718385696411,0.9701836109161377,
bbj,0.938531756401062,0.8211416602134705,0.9658700227737427,
ewe,0.9503334760665894,0.9374752640724182,0.9519062638282776,
fon,0.9572233557701111,0.9034976363182068,0.9504939913749695,
hau,0.9550480842590332,0.8922532200813293,0.9669666290283203,
ibo,0.9584001302719116,0.8944768309593201,0.973380446434021,
kin,0.9163403511047363,0.9282101988792419,0.9674157500267029,
lug,0.95965576171875,0.9445832967758179,0.9508343935012817,
luo,0.9180898070335388,0.9480102062225342,0.9611534476280212,
mos,0.9442110657691956,0.8991774916648865,0.9593954086303711,
nya,0.9555896520614624,0.9103660583496094,0.9801424145698547,
pcm,0.9188863039016724,0.9410963654518127,0.9743120670318604,
sna,0.9370680451393127,0.8895328640937805,0.9581696391105652,
swa,0.9150907397270203,0.9418384432792664,0.9682676196098328,
tsn,0.9478952884674072,0.8964608311653137,0.964996337890625,
twi,0.9688910841941833,0.9471535682678223,0.9761538505554199,
wol,0.9325157999992371,0.8853942155838013,0.9712643623352051,
xho,0.9373123049736023,0.8587280511856079,0.9271942973136902,
yor,0.9377269148826599,0.7516153454780579,0.903448224067688,
zul,0.9484937787055969,0.9139848947525024,0.9359036087989807,
