,PER,ORG,DATE,LOC,Mean
twi,0.9121341109275818,0.9793300628662109,,0.964579164981842,0.9705525708850473
kin,0.9060946106910706,0.9784864187240601,,0.9573138952255249,0.9664515894837677
ibo,0.9002849459648132,0.9699887037277222,,0.964195191860199,0.9655261586885899
nya,0.9165862798690796,0.9738609194755554,,0.9570910334587097,0.9643301242031157
luo,0.9023092985153198,0.9717606902122498,,0.9595468044281006,0.9641691118013114
sna,0.9080065488815308,0.9712309241294861,,0.9529789090156555,0.960836986079812
lug,0.9087628126144409,0.9657615423202515,,0.9582155346870422,0.9607410605531186
hau,0.9062374234199524,0.9748061299324036,,0.9482195973396301,0.9602173455059528
zul,0.9062361121177673,0.9741897583007812,,0.946911096572876,0.9592774356715381
mos,0.8886508345603943,0.9647371768951416,,0.9504714012145996,0.9559881924651563
swa,0.908379077911377,0.9621571898460388,,0.9520566463470459,0.9559648593422025
tsn,0.9076941609382629,0.9618196487426758,,0.944586992263794,0.9521366995759308
xho,0.8868175745010376,0.9674879908561707,,0.9398795366287231,0.9521165874321014
fon,0.8917832970619202,0.9559616446495056,,0.9509710669517517,0.9520206591114402
ewe,0.9006214737892151,0.9603139758110046,,0.9431753158569336,0.9505464464891702
pcm,0.903858482837677,0.9453135132789612,,0.9511842131614685,0.9472084636799991
wol,0.9077708721160889,0.9607834219932556,,0.9340832829475403,0.9465037630870938
yor,0.8721656203269958,0.9506219029426575,,0.9158263802528381,0.9317930825054646
bam,0.9012487530708313,0.9016857743263245,,0.9624384641647339,0.9313399309758097
bbj,0.8957284092903137,0.9484447836875916,,0.9042804837226868,0.9256446440704167
