,ORG,LOC,DATE,PER
bam,0.9295107126235962,0.9442601799964905,,0.9534932374954224
bbj,0.9649020433425903,0.8738751411437988,,0.9834311008453369
ewe,0.968123733997345,0.9433245062828064,,0.9740831255912781
fon,0.9755528569221497,0.9154764413833618,,0.96958988904953
hau,0.9712311029434204,0.8972670435905457,,0.9821585416793823
ibo,0.9769590497016907,0.9138054847717285,,
kin,0.9751020669937134,0.9366099834442139,,0.979499101638794
lug,0.9689420461654663,,,0.967052698135376
luo,0.9586764574050903,,,0.9793967008590698
mos,0.9736531376838684,0.906117856502533,,0.9676565527915955
nya,0.9704467058181763,0.910528302192688,,0.9898807406425476
pcm,0.9324467778205872,0.9616645574569702,,0.9863754510879517
sna,0.9542984366416931,0.9030493497848511,,0.9770634770393372
swa,0.9575008153915405,0.967904806137085,,0.9800190329551697
tsn,0.9656181335449219,0.9073029160499573,,
twi,0.9814140200614929,0.962600827217102,,0.9871892333030701
wol,0.9539090991020203,0.9029882550239563,,0.9831267595291138
xho,0.9653030633926392,0.8856766819953918,,0.939335286617279
yor,0.966195821762085,0.800542414188385,,
zul,0.9709682464599609,0.8969108462333679,,0.9647384881973267
