,DATE,LOC,ORG,PER
bam,,,0.9191361665725708,
bbj,,,0.9334689378738403,
ewe,,,0.9334554672241211,0.8977270722389221
fon,,,,0.8856639862060547
hau,,,0.8933844566345215,0.9175432324409485
ibo,,0.7855092287063599,0.9423995614051819,
kin,,,0.9338484406471252,
lug,,,0.9583227634429932,0.8748961091041565
luo,,,0.9411813616752625,0.9178494811058044
mos,,,0.9451123476028442,0.884419322013855
nya,,,0.9508001804351807,
pcm,,0.879944384098053,,0.9235861301422119
sna,,0.7339335083961487,,0.8528395295143127
swa,,,,0.9134107828140259
tsn,,0.7897314429283142,0.9410802721977234,
twi,,,,0.9297083616256714
wol,,,0.9404362440109253,
xho,,0.647216260433197,,0.8364773392677307
yor,,0.6284602880477905,0.9321737289428711,
zul,,0.6702107191085815,,
