layer,model,rank_type,language,pearson
2,mbert,top5,lug,0.9999603320887089
2,mbert,top5,hau,0.9999574708579005
2,mbert,top5,nya,0.9999500465978648
2,mbert,top5,sna,0.9999476367095148
2,mbert,top5,kin,0.9999400770434099
2,mbert,worst5,pcm,0.9997936719452494
2,mbert,worst5,fon,0.9998306104255614
2,mbert,worst5,yor,0.9998353193063461
2,mbert,worst5,bbj,0.9998521882737621
2,mbert,worst5,ewe,0.9998742846167998
3,mbert,top5,lug,0.9999840488914915
3,mbert,top5,hau,0.9999816456146398
3,mbert,top5,sna,0.9999804916518304
3,mbert,top5,nya,0.9999794655672161
3,mbert,top5,kin,0.9999783877094743
3,mbert,worst5,pcm,0.9999238635273713
3,mbert,worst5,bbj,0.9999405665843434
3,mbert,worst5,yor,0.9999416478793457
3,mbert,worst5,fon,0.9999452429541041
3,mbert,worst5,ewe,0.9999505565694446
10,mbert,top5,lug,0.9903932491874536
10,mbert,top5,kin,0.9903292148258408
10,mbert,top5,sna,0.9887826115083652
10,mbert,top5,nya,0.9882859256667558
10,mbert,top5,twi,0.9857801347142209
10,mbert,worst5,pcm,0.959337259997941
10,mbert,worst5,bbj,0.9650013518360493
10,mbert,worst5,yor,0.9654348878079883
10,mbert,worst5,fon,0.9686849474754722
10,mbert,worst5,swa,0.9702974558208072
12,mbert,top5,kin,0.9851084553313862
12,mbert,top5,nya,0.9842999813325053
12,mbert,top5,sna,0.9834193016724906
12,mbert,top5,lug,0.9831551398988972
12,mbert,top5,zul,0.9784815432570602
12,mbert,worst5,bbj,0.9200122913918747
12,mbert,worst5,fon,0.9241247477244917
12,mbert,worst5,pcm,0.933624783365528
12,mbert,worst5,yor,0.9520037090515706
12,mbert,worst5,ewe,0.9602355918919199
