,PER,DATE,LOC,ORG
bam,0.9999969601631165,0.9999988675117493,0.9999985098838806,0.9999985098838806
bbj,0.9999982714653015,0.9999988079071045,0.9999991059303284,0.9999994039535522
ewe,0.999997615814209,0.9999993443489075,0.9999995231628418,0.9999992847442627
fon,0.9999966621398926,0.9999983906745911,0.999998927116394,0.9999989867210388
hau,0.9999980926513672,0.9999986290931702,0.9999996423721313,0.999999463558197
ibo,0.999998152256012,0.9999997019767761,0.9999991059303284,0.9999987483024597
kin,0.9999982714653015,0.9999994039535522,0.9999997019767761,0.9999997615814209
lug,0.9999984502792358,0.9999996423721313,0.9999998807907104,0.9999997615814209
luo,0.9999982118606567,0.9999991059303284,0.9999997019767761,0.9999991655349731
mos,0.9999975562095642,0.9999989867210388,0.9999994039535522,0.9999993443489075
nya,0.9999985098838806,0.9999993443489075,0.9999995827674866,0.9999997019767761
pcm,0.9999974966049194,0.9999990463256836,0.9999994039535522,0.9999992847442627
sna,0.9999979734420776,0.9999993443489075,0.9999994039535522,0.9999998211860657
swa,0.9999979734420776,0.9999990463256836,0.9999995827674866,0.9999992847442627
tsn,0.9999982118606567,0.999999463558197,0.999999463558197,0.9999994039535522
twi,0.9999970197677612,0.999998152256012,0.9999990463256836,0.9999993443489075
wol,0.9999977946281433,0.9999993443489075,0.9999993443489075,0.9999994039535522
xho,0.9999979734420776,0.9999995827674866,0.9999995231628418,0.9999996423721313
yor,0.9999985694885254,0.9999991059303284,0.9999992847442627,0.999999463558197
zul,0.9999983906745911,0.9999995827674866,0.999999463558197,0.9999995827674866
