,LOC,ORG,PER,DATE
bam,0.8648166656494141,0.8622400760650635,0.783757746219635,0.9007942080497742
bbj,0.7289115190505981,0.8663594722747803,0.8095870018005371,0.8447799682617188
ewe,0.8996267318725586,0.9267505407333374,0.7924544811248779,0.7385480999946594
fon,0.8171606063842773,0.8967593312263489,0.7900967001914978,0.8656184673309326
hau,0.8207278251647949,0.9320384860038757,0.7769086360931396,0.9468725323677063
ibo,0.8543238043785095,0.9405001997947693,0.8004675507545471,0.9536910057067871
kin,0.9403276443481445,0.9412276148796082,0.7924064993858337,0.9473803043365479
lug,0.9336878061294556,0.9038429260253906,0.7925273180007935,0.8855311870574951
luo,0.9267213940620422,0.9304450154304504,0.7953037619590759,0.934724748134613
mos,0.8474476933479309,0.9084941148757935,0.7890473008155823,0.7754806876182556
nya,0.9037895798683167,0.9364498853683472,0.8065173625946045,0.92343670129776
pcm,0.9022866487503052,0.904917299747467,0.8067260384559631,0.7904036045074463
sna,0.8534302115440369,0.93197101354599,0.8031659126281738,0.9607870578765869
swa,0.9371935129165649,0.9195027351379395,0.793055534362793,0.8949107527732849
tsn,0.8659836053848267,0.9087110757827759,0.7908275127410889,0.9429302215576172
twi,0.9095525145530701,0.9571807384490967,0.8101624846458435,0.9073821306228638
wol,0.8265149593353271,0.9208455681800842,0.8004709482192993,0.9344632625579834
xho,0.7834014296531677,0.9139756560325623,0.8034180998802185,0.9603636264801025
yor,0.7009400129318237,0.8888376355171204,0.706898033618927,0.8449856638908386
zul,0.8602135181427002,0.9321780800819397,0.7998371124267578,0.9438675045967102
