,LOC,ORG,DATE,PER,Mean
kin,0.9409041404724121,0.9529942274093628,0.9420468807220459,0.9458969831466675,0.9454605579376221
lug,0.939498245716095,0.9190181493759155,0.9107375144958496,0.9892668724060059,0.9396301954984665
nya,0.9156539440155029,0.95126873254776,0.9267756938934326,0.9547435641288757,0.9371104836463928
twi,0.9353797435760498,0.9593918323516846,0.8928355574607849,0.9539226293563843,0.9353824406862259
luo,0.936023473739624,0.9360841512680054,0.9247153401374817,0.9269443154335022,0.9309418201446533
ibo,0.8668996691703796,0.9492282867431641,0.9509592056274414,0.9432733058929443,0.9275901168584824
tsn,0.8987866044044495,0.9144946336746216,0.936095654964447,0.9297885298728943,0.9197913557291031
swa,0.9557620286941528,0.9117336273193359,0.8836106061935425,0.9223329424858093,0.9183598011732101
sna,0.817896842956543,0.9384788274765015,0.9492002129554749,0.9537029266357422,0.9148197025060654
zul,0.8733556866645813,0.932043731212616,0.9381361603736877,0.9087990522384644,0.9130836576223373
wol,0.8397488594055176,0.9367637634277344,0.9282708168029785,0.9372738599777222,0.9105143249034882
hau,0.8219228386878967,0.9388953447341919,0.942874014377594,0.936259388923645,0.9099878966808319
xho,0.7955994009971619,0.9134701490402222,0.9506152868270874,0.9291774034500122,0.8972155600786209
pcm,0.9295604825019836,0.9070340991020203,0.77132248878479,0.9523645043373108,0.8900703936815262
fon,0.8239372968673706,0.925509512424469,0.8603256940841675,0.9363048076629639,0.8865193277597427
bam,0.8807955980300903,0.8356849551200867,0.891689658164978,0.92994225025177,0.8845281153917313
mos,0.8591877222061157,0.92042475938797,0.8078959584236145,0.9222115278244019,0.8774299919605255
ewe,0.895754873752594,0.9264708757400513,0.7167415618896484,0.9464014768600464,0.871342197060585
bbj,0.745993971824646,0.8773503303527832,0.8369140625,0.940491259098053,0.8501874059438705
yor,0.7308377623558044,0.8990017771720886,0.8476480841636658,0.8433395624160767,0.8302067965269089
