,LOC,DATE,ORG,PER,Mean
lug,0.69086766,0.60123396,0.6725349,0.7793537,0.68599755
twi,0.57874805,0.60793865,0.7214997,0.70497614,0.6532906
luo,0.5751231,0.6279409,0.7111325,0.69246227,0.6516647
ibo,0.5439978,0.63198197,0.6738255,0.7043255,0.6385327
swa,0.6024164,0.59951645,0.68812233,0.66246235,0.63812935
sna,0.5017651,0.64842945,0.6942588,0.6988991,0.6358381
kin,0.5560442,0.630739,0.6925372,0.66096956,0.63507247
ewe,0.55973476,0.55502754,0.65469503,0.7306992,0.6250391
pcm,0.5847844,0.4815494,0.67390454,0.75263476,0.6232183
nya,0.51557904,0.58607703,0.713963,0.67640126,0.62300503
hau,0.4786141,0.6547178,0.6068711,0.7038472,0.6110126
xho,0.45076457,0.70297676,0.597325,0.6821114,0.6082945
zul,0.49135807,0.6349305,0.62677944,0.67949045,0.60813963
tsn,0.5202116,0.6278277,0.6314504,0.6494077,0.60722435
fon,0.50253594,0.58657795,0.635305,0.6942883,0.6046768
bam,0.5147455,0.6074729,0.58545536,0.7065104,0.603546
wol,0.46278816,0.6203468,0.6109382,0.7014503,0.5988808
mos,0.4925867,0.5670458,0.6105683,0.71029997,0.5951252
bbj,0.4657858,0.5466918,0.5779084,0.6935553,0.5709853
yor,0.45567843,0.57995194,0.60016346,0.5633078,0.5497754
